"BehaviorSpace results (NetLogo 6.0.1)"
"main_backup.nlogo"
"experiment"
"11/28/2017 18:08:48:644 +0330"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25"
"simple-strategy-num","100",,,"100",,,"100",,,"100",,,"100",,,"300",,,"300",,,"300",,,"300",,,"300",,,"500",,,"500",,,"500",,,"500",,,"500",,,"700",,,"700",,,"700",,,"700",,,"700",,,"900",,,"900",,,"900",,,"900",,,"900",,
"truth-eating-rate-inverse","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"simple-eating-rate-inverse","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"food-uper-limit","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"food-growth-rate","41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,,"41",,
"truth-strategy-num","100",,,"300",,,"500",,,"700",,,"900",,,"100",,,"300",,,"500",,,"700",,,"900",,,"100",,,"300",,,"500",,,"700",,,"900",,,"100",,,"300",,,"500",,,"700",,,"900",,,"100",,,"300",,,"500",,,"700",,,"900",,
"living-cost-quant","75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,
"[steps]","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300"

"[initial & final values]","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy","count turtles","count truth-strategy","count simple-strategy"
,"195","98","97","372","274","98","411","318","93","345","262","83","299","228","71","355","84","271","378","133","245","323","127","196","309","124","185","289","109","180","362","37","325","345","56","289","320","54","266","294","57","237","287","43","244","349","14","335","318","19","299","318","22","296","298","18","280","307","15","292","338","2","336","326","6","320","303","5","298","302","6","296","292","6","286"
